"Industry","Count"
"Banking/Financial Services",1371
"Computer Systems Design and Services",844
"Energy",578
"Fintech",1641
"Government",962
"Healthcare",1277
"Higher Education",890
"Insurance",389
"Internet, Telecomm or Information Services",1629
"Manufacturing",1265
"Media & Advertising Services",894
"Other:",3077
"Retail and Consumer Services",1264
"Software Development",11918
"Transportation, or Supply Chain",859
NA,36579
