,Country_Code,AISelect
4196,IND,"No, but I plan to soon"
4197,IRL,Yes
4198,FRA,"No, and I don't plan to"
4199,DEU,"No, and I don't plan to"
4200,MLT,"No, and I don't plan to"
4201,SVK,Yes
4202,UKR,Yes
4203,UKR,"No, and I don't plan to"
4204,PAK,Yes
4205,NOR,Yes
4206,BEL,"No, but I plan to soon"
4207,POL,Yes
4208,SVN,"No, and I don't plan to"
4209,DEU,Yes
4210,AUT,Yes
4211,PAK,Yes
4212,GBR,"No, and I don't plan to"
4213,NGA,Yes
4214,IND,"No, but I plan to soon"
4215,ZMB,Yes
4216,KOR,"No, but I plan to soon"
4217,UKR,Yes
4218,NGA,Yes
4219,NLD,Yes
4220,DEU,Yes
4221,GBR,"No, and I don't plan to"
4222,UKR,Yes
4223,UKR,Yes
4224,GBR,"No, and I don't plan to"
4225,NLD,Yes
4226,UKR,Yes
4227,IND,"No, but I plan to soon"
4228,GBR,Yes
4229,ZAF,Yes
4230,ITA,Yes
4231,LKA,Yes
4232,GBR,Yes
4233,CHN,"No, but I plan to soon"
4234,PRK,Yes
4235,POL,Yes
4236,CZE,"No, but I plan to soon"
4237,RUS,"No, and I don't plan to"
4238,RUS,"No, and I don't plan to"
4239,RUS,"No, but I plan to soon"
4240,BRA,"No, and I don't plan to"
4241,IND,Yes
4242,IND,Yes
4243,BEL,Yes
4244,IRL,"No, and I don't plan to"
4245,ITA,Yes
4246,IND,Yes
4247,NLD,"No, and I don't plan to"
4248,GBR,Yes
4249,PAK,Yes
4250,GBR,Yes
4251,FIN,"No, and I don't plan to"
4252,ESP,Yes
4253,FRA,"No, and I don't plan to"
4254,UKR,Yes
4255,DEU,Yes
4256,PRT,Yes
4257,IND,Yes
4258,ZAF,Yes
4259,USA,Yes
4260,EST,"No, and I don't plan to"
4261,ROU,Yes
4262,UKR,"No, but I plan to soon"
4263,HRV,Yes
4264,DEU,"No, and I don't plan to"
4265,ISR,Yes
4266,CHE,Yes
4267,IND,Yes
4268,GBR,Yes
4269,NLD,Yes
4270,FRA,"No, but I plan to soon"
4271,BGD,Yes
4272,DEU,"No, and I don't plan to"
4273,UKR,"No, but I plan to soon"
4274,IND,Yes
4275,GBR,"No, and I don't plan to"
4276,TUN,"No, and I don't plan to"
4277,GBR,Yes
4278,ESP,"No, and I don't plan to"
4279,IND,Yes
4280,FRA,"No, and I don't plan to"
4281,GBR,"No, and I don't plan to"
4282,GBR,"No, but I plan to soon"
4283,BIH,Yes
4284,AUT,Yes
4285,,Yes
4286,KHM,Yes
4287,SRB,"No, and I don't plan to"
4288,,Yes
4289,UKR,Yes
4290,USA,Yes
4291,CHE,Yes
4292,NLD,"No, and I don't plan to"
4293,UKR,"No, but I plan to soon"
4294,POL,Yes
4295,AUT,"No, but I plan to soon"
4296,CHE,"No, but I plan to soon"
4297,AUT,"No, and I don't plan to"
4298,UKR,Yes
4299,DZA,Yes
4300,UKR,Yes
4301,BEL,"No, and I don't plan to"
4302,UKR,"No, but I plan to soon"
4303,BGD,Yes
4304,IND,Yes
4305,DEU,"No, and I don't plan to"
4306,DNK,Yes
4307,SEN,Yes
4308,DEU,"No, and I don't plan to"
4309,ITA,Yes
4310,LUX,"No, but I plan to soon"
4311,FIN,Yes
4312,POL,"No, but I plan to soon"
4313,CAN,Yes
4314,DNK,"No, and I don't plan to"
4315,ROU,Yes
4316,DEU,"No, but I plan to soon"
4317,CYP,Yes
4318,GBR,"No, and I don't plan to"
4319,GBR,"No, and I don't plan to"
4320,NLD,Yes
4321,GRC,Yes
4322,VNM,Yes
4323,IND,"No, but I plan to soon"
4324,USA,"No, and I don't plan to"
4325,GBR,"No, and I don't plan to"
4326,VNM,Yes
4327,PHL,Yes
4328,NOR,Yes
4329,SRB,Yes
4330,GBR,Yes
4331,IND,"No, but I plan to soon"
4332,HUN,Yes
4333,SWE,"No, and I don't plan to"
4334,IND,"No, but I plan to soon"
4335,IND,"No, but I plan to soon"
4336,HRV,Yes
4337,,Yes
4338,BRA,"No, and I don't plan to"
4339,FRA,Yes
4340,HUN,"No, and I don't plan to"
4341,RUS,Yes
4342,DEU,"No, and I don't plan to"
4343,USA,Yes
4344,ZAF,"No, and I don't plan to"
4345,DEU,"No, and I don't plan to"
4346,PAK,Yes
4347,GBR,Yes
4348,BRA,Yes
4349,SWE,Yes
4350,DEU,"No, and I don't plan to"
4351,DEU,Yes
4352,EGY,Yes
4353,DEU,"No, but I plan to soon"
4354,DEU,Yes
4355,GBR,Yes
4356,DEU,"No, and I don't plan to"
4357,CZE,Yes
4358,BRA,Yes
4359,UKR,Yes
4360,ISR,Yes
4361,PRT,"No, and I don't plan to"
4362,NLD,Yes
4363,IND,Yes
4364,DEU,Yes
4365,ESP,Yes
4366,POL,"No, and I don't plan to"
4367,NLD,Yes
4368,RUS,Yes
4369,UKR,"No, but I plan to soon"
4370,BGR,Yes
4371,FRA,"No, and I don't plan to"
4372,DNK,"No, and I don't plan to"
4373,GRC,Yes
4374,DOM,Yes
4375,HRV,"No, and I don't plan to"
4376,ZAF,Yes
4377,UKR,Yes
4378,ISR,"No, and I don't plan to"
4379,CHL,"No, and I don't plan to"
4380,ESP,Yes
4381,LTU,Yes
4382,USA,Yes
4383,NZL,Yes
4384,NLD,Yes
4385,FRA,"No, and I don't plan to"
4386,GBR,"No, and I don't plan to"
4387,NOR,"No, and I don't plan to"
4388,DEU,"No, and I don't plan to"
4389,CAN,Yes
4390,CZE,Yes
4391,DZA,"No, but I plan to soon"
4392,FIN,"No, but I plan to soon"
4393,NLD,Yes
4394,FRA,Yes
4395,ITA,"No, but I plan to soon"
4396,SVK,Yes
4397,DEU,"No, but I plan to soon"
4398,FRA,Yes
4399,GBR,"No, and I don't plan to"
4400,AUS,"No, but I plan to soon"
4401,DEU,Yes
4402,NZL,"No, and I don't plan to"
4403,BEL,Yes
4404,FRA,"No, and I don't plan to"
4405,IND,"No, but I plan to soon"
4406,CIV,Yes
4407,POL,Yes
4408,,Yes
4409,USA,"No, and I don't plan to"
4410,NLD,Yes
4411,IND,"No, but I plan to soon"
4412,BRA,Yes
4413,LKA,Yes
4414,DZA,Yes
4415,GBR,"No, and I don't plan to"
4416,GBR,"No, and I don't plan to"
4417,EST,"No, but I plan to soon"
4418,BEL,"No, and I don't plan to"
4419,BEL,Yes
4420,GBR,Yes
4421,IND,Yes
4422,,Yes
4423,CZE,"No, but I plan to soon"
4424,ARE,"No, and I don't plan to"
4425,GBR,Yes
4426,GRC,Yes
4427,GBR,"No, and I don't plan to"
4428,USA,"No, and I don't plan to"
4429,THA,Yes
4430,DEU,"No, and I don't plan to"
4431,GBR,"No, and I don't plan to"
4432,GBR,"No, and I don't plan to"
4433,EST,Yes
4434,SWE,"No, and I don't plan to"
4435,IND,Yes
4436,HUN,Yes
4437,EST,Yes
4438,,Yes
4439,NLD,Yes
4440,CYP,"No, and I don't plan to"
4441,LVA,"No, but I plan to soon"
4442,USA,"No, and I don't plan to"
4443,IND,Yes
4444,ITA,"No, and I don't plan to"
4445,,Yes
4446,SRB,Yes
4447,DEU,Yes
4448,ESP,Yes
4449,NGA,Yes
4450,IND,"No, but I plan to soon"
4451,AUT,Yes
4452,CAN,"No, but I plan to soon"
4453,SRB,Yes
4454,FRA,"No, and I don't plan to"
4455,DEU,Yes
4456,BRA,Yes
4457,DEU,"No, and I don't plan to"
4458,RUS,Yes
4459,BEL,"No, and I don't plan to"
4460,PRT,"No, and I don't plan to"
4461,UKR,Yes
4462,AUT,Yes
4463,KWT,Yes
4464,USA,"No, and I don't plan to"
4465,FRA,"No, and I don't plan to"
4466,PAK,Yes
4467,LTU,"No, and I don't plan to"
4468,ITA,"No, and I don't plan to"
4469,ARG,"No, and I don't plan to"
4470,IND,"No, and I don't plan to"
4471,ISR,Yes
4472,FRA,"No, and I don't plan to"
4473,GRC,Yes
4474,TJK,Yes
4475,USA,"No, and I don't plan to"
4476,SWE,Yes
4477,UKR,"No, and I don't plan to"
4478,NLD,Yes
4479,ARM,Yes
4480,ESP,Yes
4481,DEU,"No, and I don't plan to"
4482,FRA,Yes
4483,GBR,"No, but I plan to soon"
4484,IND,Yes
4485,POL,Yes
4486,NOR,Yes
4487,DEU,Yes
4488,FRA,Yes
4489,IMN,Yes
4490,DNK,"No, but I plan to soon"
4491,CHE,"No, and I don't plan to"
4492,HRV,"No, but I plan to soon"
4493,SWE,Yes
4494,DEU,Yes
4495,SWE,Yes
4496,BEL,Yes
4497,CHE,Yes
4498,USA,"No, and I don't plan to"
4499,ITA,Yes
4500,FRA,Yes
4501,FRA,Yes
4502,POL,"No, and I don't plan to"
4503,SVN,"No, but I plan to soon"
4504,FIN,Yes
4505,CAN,Yes
4506,GBR,Yes
4507,POL,Yes
4508,USA,"No, and I don't plan to"
4509,AUT,"No, but I plan to soon"
4510,IND,Yes
4511,NLD,"No, and I don't plan to"
4512,IND,"No, but I plan to soon"
4513,ESP,"No, and I don't plan to"
4514,CZE,Yes
4515,DEU,Yes
4516,IND,Yes
4517,NLD,Yes
4518,BEL,Yes
4519,DEU,Yes
4520,NLD,"No, and I don't plan to"
4521,IND,Yes
4522,DEU,Yes
4523,DEU,Yes
4524,SWE,Yes
4525,FRA,"No, and I don't plan to"
4526,DEU,"No, and I don't plan to"
4527,AUS,Yes
4528,GBR,"No, and I don't plan to"
4529,HUN,Yes
4530,FRA,Yes
4531,GBR,"No, and I don't plan to"
4532,CAN,"No, and I don't plan to"
4533,,"No, but I plan to soon"
4534,,Yes
4535,IND,Yes
4536,SVK,Yes
4537,SGP,Yes
4538,IRL,Yes
4539,SVK,Yes
4540,POL,"No, and I don't plan to"
4541,GRC,"No, but I plan to soon"
4542,DEU,"No, and I don't plan to"
4543,PAK,Yes
4544,IND,"No, but I plan to soon"
4545,DEU,"No, and I don't plan to"
4546,USA,Yes
4547,SRB,"No, but I plan to soon"
4548,UZB,Yes
4549,CHE,Yes
4550,SWE,Yes
4551,UKR,"No, and I don't plan to"
4552,UKR,Yes
4553,AUT,Yes
4554,ROU,"No, but I plan to soon"
4555,DEU,Yes
4556,GBR,"No, but I plan to soon"
4557,IND,"No, but I plan to soon"
4558,FRA,"No, and I don't plan to"
4559,IND,Yes
4560,PAK,Yes
4561,IND,Yes
4562,CAN,"No, and I don't plan to"
4563,IND,Yes
4564,DEU,Yes
4565,POL,Yes
4566,USA,"No, but I plan to soon"
4567,AUS,Yes
4568,BRA,Yes
4569,USA,"No, and I don't plan to"
4570,DEU,Yes
4571,CHE,Yes
4572,USA,Yes
4573,MEX,Yes
4574,SWE,"No, but I plan to soon"
4575,DEU,"No, but I plan to soon"
4576,NOR,"No, but I plan to soon"
4577,HRV,Yes
4578,DEU,Yes
4579,,Yes
4580,ARG,Yes
4581,,"No, but I plan to soon"
4582,EST,Yes
4583,IND,Yes
4584,SWE,"No, and I don't plan to"
4585,ITA,Yes
4586,ITA,Yes
4587,USA,Yes
4588,USA,Yes
4589,CZE,"No, but I plan to soon"
4590,GBR,"No, and I don't plan to"
4591,UKR,"No, but I plan to soon"
4592,PRT,Yes
4593,DNK,Yes
4594,BGR,Yes
4595,LUX,"No, and I don't plan to"
4596,GBR,"No, but I plan to soon"
4597,USA,Yes
4598,DEU,"No, but I plan to soon"
4599,USA,"No, but I plan to soon"
4600,NLD,Yes
4601,USA,Yes
4602,FRA,Yes
4603,HUN,Yes
4604,DEU,"No, but I plan to soon"
4605,BLR,Yes
4606,BDI,Yes
4607,DEU,"No, but I plan to soon"
4608,FRA,"No, and I don't plan to"
4609,FRA,Yes
4610,POL,Yes
4611,ITA,"No, and I don't plan to"
4612,FRA,Yes
4613,FIN,Yes
4614,UKR,Yes
4615,NOR,"No, but I plan to soon"
4616,IND,Yes
4617,SVK,Yes
4618,USA,Yes
4619,DEU,Yes
4620,AUT,"No, and I don't plan to"
4621,CAN,"No, and I don't plan to"
4622,BEL,"No, and I don't plan to"
4623,,Yes
4624,EST,Yes
4625,FRA,"No, and I don't plan to"
4626,FRA,Yes
4627,SWE,Yes
4628,CHN,Yes
4629,DEU,"No, and I don't plan to"
4630,DEU,Yes
4631,PRT,Yes
4632,CAN,Yes
4633,DEU,Yes
4634,IND,Yes
4635,ITA,Yes
4636,IND,Yes
4637,DEU,"No, but I plan to soon"
4638,PAK,Yes
4639,USA,Yes
4640,DEU,Yes
4641,GBR,"No, and I don't plan to"
4642,USA,"No, and I don't plan to"
4643,AUS,"No, and I don't plan to"
4644,DEU,"No, and I don't plan to"
4645,FIN,Yes
4646,GBR,Yes
4647,ITA,"No, but I plan to soon"
4648,,"No, but I plan to soon"
4649,CHE,Yes
4650,BGR,Yes
4651,UKR,"No, but I plan to soon"
4652,CHE,Yes
4653,ARE,Yes
4654,BEL,Yes
4655,BRA,Yes
4656,DEU,Yes
4657,GBR,"No, and I don't plan to"
4658,DEU,"No, but I plan to soon"
4659,CAN,Yes
4660,CZE,"No, and I don't plan to"
4661,GBR,Yes
4662,UKR,Yes
4663,IND,Yes
4664,BLR,"No, and I don't plan to"
4665,NLD,"No, and I don't plan to"
4666,GBR,"No, and I don't plan to"
4667,NLD,"No, and I don't plan to"
4668,RUS,"No, and I don't plan to"
4669,CHE,"No, and I don't plan to"
4670,POL,Yes
4671,USA,"No, and I don't plan to"
4672,LVA,"No, and I don't plan to"
4673,IND,Yes
4674,UKR,Yes
4675,DEU,Yes
4676,NOR,Yes
4677,USA,"No, and I don't plan to"
4678,NOR,"No, and I don't plan to"
4679,CHE,"No, and I don't plan to"
4680,IDN,Yes
4681,BRA,Yes
4682,GBR,Yes
4683,IND,"No, and I don't plan to"
4684,ROU,Yes
4685,IRL,"No, and I don't plan to"
4686,USA,"No, but I plan to soon"
4687,ITA,Yes
4688,PRT,"No, and I don't plan to"
4689,USA,"No, and I don't plan to"
4690,IND,"No, but I plan to soon"
4691,,Yes
4692,RUS,Yes
4693,SWE,"No, and I don't plan to"
4694,IND,"No, but I plan to soon"
4695,,Yes
4696,GBR,"No, and I don't plan to"
4697,RUS,"No, and I don't plan to"
4698,GBR,"No, but I plan to soon"
4699,SVN,"No, and I don't plan to"
4700,MNG,Yes
4701,BEL,Yes
4702,ESP,Yes
4703,ESP,Yes
4704,IND,"No, but I plan to soon"
4705,USA,Yes
4706,IND,Yes
4707,NOR,Yes
4708,UKR,Yes
4709,DEU,"No, and I don't plan to"
4710,DEU,Yes
4711,DEU,Yes
4712,UKR,Yes
4713,CAN,"No, but I plan to soon"
4714,HUN,Yes
4715,TWN,Yes
4716,BRA,Yes
4717,CHE,Yes
4718,GBR,Yes
4719,GBR,Yes
4720,CAN,Yes
4721,ITA,Yes
4722,NLD,Yes
4723,ARG,Yes
4724,,Yes
4725,IND,Yes
4726,BRA,"No, and I don't plan to"
4727,DEU,Yes
4728,ITA,Yes
4729,TWN,Yes
4730,NOR,"No, but I plan to soon"
4731,DEU,"No, and I don't plan to"
4732,FRA,"No, but I plan to soon"
4733,UKR,"No, but I plan to soon"
4734,ITA,Yes
4735,POL,Yes
4736,GBR,Yes
4737,UZB,"No, and I don't plan to"
4738,DEU,"No, and I don't plan to"
4739,,Yes
4740,UKR,Yes
4741,ITA,"No, but I plan to soon"
4742,DEU,Yes
4743,POL,Yes
4744,FRA,"No, and I don't plan to"
4745,NLD,"No, and I don't plan to"
4746,UKR,Yes
4747,GEO,"No, but I plan to soon"
4748,CAN,Yes
4749,AUT,Yes
4750,GBR,"No, and I don't plan to"
4751,,"No, and I don't plan to"
4752,DNK,Yes
4753,IND,Yes
4754,GBR,Yes
4755,ESP,Yes
4756,DEU,"No, but I plan to soon"
4757,ITA,Yes
4758,ITA,Yes
4759,ITA,"No, and I don't plan to"
4760,,Yes
4761,IND,Yes
4762,FRA,"No, but I plan to soon"
4763,GRC,"No, and I don't plan to"
4764,SWE,Yes
4765,DEU,Yes
4766,IND,"No, but I plan to soon"
4767,FRA,Yes
4768,ARM,Yes
4769,FRA,"No, and I don't plan to"
4770,ARE,Yes
4771,DEU,Yes
4772,GBR,Yes
4773,ZAF,Yes
4774,DNK,Yes
4775,FRA,"No, and I don't plan to"
4776,DEU,"No, and I don't plan to"
4777,ESP,Yes
4778,UKR,Yes
4779,PHL,Yes
4780,POL,"No, and I don't plan to"
4781,IND,Yes
4782,NLD,Yes
4783,IND,Yes
4784,SRB,Yes
4785,RUS,"No, and I don't plan to"
4786,DEU,Yes
4787,POL,Yes
4788,USA,Yes
4789,FRA,Yes
4790,GBR,"No, and I don't plan to"
4791,RUS,Yes
4792,RUS,"No, but I plan to soon"
4793,RUS,Yes
4794,,Yes
4795,PSE,"No, and I don't plan to"
4796,KAZ,"No, and I don't plan to"
4797,CAN,"No, and I don't plan to"
4798,SWE,Yes
4799,FRA,"No, and I don't plan to"
4800,ITA,"No, and I don't plan to"
4801,USA,Yes
4802,BGD,Yes
4803,DEU,"No, and I don't plan to"
4804,ESP,"No, and I don't plan to"
4805,ARG,"No, and I don't plan to"
4806,POL,"No, and I don't plan to"
4807,MUS,"No, but I plan to soon"
4808,UKR,Yes
4809,DEU,Yes
4810,JPN,Yes
4811,EGY,Yes
4812,DEU,"No, but I plan to soon"
4813,IND,Yes
4814,NLD,"No, but I plan to soon"
4815,POL,Yes
4816,DNK,Yes
4817,RUS,"No, but I plan to soon"
4818,GBR,Yes
4819,USA,Yes
4820,ITA,Yes
4821,RUS,"No, but I plan to soon"
4822,VNM,Yes
4823,ZAF,Yes
4824,AUS,Yes
4825,ESP,"No, but I plan to soon"
4826,ISR,Yes
4827,USA,Yes
4828,MYS,Yes
4829,USA,Yes
4830,KAZ,Yes
4831,HUN,Yes
4832,SRB,"No, and I don't plan to"
4833,ITA,Yes
4834,BRA,Yes
4835,HUN,Yes
4836,FRA,"No, and I don't plan to"
4837,FRA,"No, and I don't plan to"
4838,UKR,Yes
4839,FRA,"No, and I don't plan to"
4840,ROU,"No, and I don't plan to"
4841,ITA,"No, and I don't plan to"
4842,USA,"No, and I don't plan to"
4843,RUS,Yes
4844,LBN,Yes
4845,GBR,Yes
4846,FRA,Yes
4847,USA,"No, and I don't plan to"
4848,GBR,"No, and I don't plan to"
4849,FRA,"No, but I plan to soon"
4850,USA,Yes
4851,EST,Yes
4852,SWE,"No, and I don't plan to"
4853,GBR,Yes
4854,POL,Yes
4855,UKR,Yes
4856,ITA,"No, but I plan to soon"
4857,HRV,"No, and I don't plan to"
4858,IND,Yes
4859,IND,"No, but I plan to soon"
4860,KAZ,Yes
4861,USA,Yes
4862,USA,"No, and I don't plan to"
4863,CHN,"No, and I don't plan to"
4864,GBR,Yes
4865,GBR,"No, and I don't plan to"
4866,LKA,"No, and I don't plan to"
4867,BEL,Yes
4868,SWE,Yes
4869,CHE,"No, and I don't plan to"
4870,DEU,"No, and I don't plan to"
4871,ESP,"No, and I don't plan to"
4872,RUS,"No, and I don't plan to"
4873,GBR,Yes
4874,SYR,Yes
4875,RUS,"No, and I don't plan to"
4876,NOR,Yes
4877,UKR,Yes
4878,ESP,"No, and I don't plan to"
4879,ESP,"No, and I don't plan to"
4880,RUS,Yes
4881,BLR,"No, but I plan to soon"
4882,DEU,"No, and I don't plan to"
4883,DNK,Yes
4884,IND,Yes
4885,ARG,"No, and I don't plan to"
4886,UKR,"No, but I plan to soon"
4887,DEU,"No, and I don't plan to"
4888,USA,"No, and I don't plan to"
4889,GBR,"No, but I plan to soon"
4890,VNM,"No, but I plan to soon"
4891,USA,"No, but I plan to soon"
4892,FRA,"No, and I don't plan to"
4893,USA,"No, and I don't plan to"
4894,DEU,Yes
4895,BEL,"No, and I don't plan to"
4896,PRT,Yes
4897,GBR,"No, and I don't plan to"
4898,UKR,Yes
4899,POL,Yes
4900,DEU,"No, and I don't plan to"
4901,NOR,"No, but I plan to soon"
4902,POL,Yes
4903,CZE,"No, but I plan to soon"
4904,IND,"No, and I don't plan to"
4905,ECU,"No, and I don't plan to"
4906,RUS,"No, and I don't plan to"
4907,FIN,Yes
4908,CAN,"No, and I don't plan to"
4909,NLD,"No, and I don't plan to"
4910,CHN,Yes
4911,SWE,Yes
4912,IND,"No, but I plan to soon"
4913,JAM,Yes
4914,ITA,Yes
4915,IND,Yes
4916,CAN,"No, and I don't plan to"
4917,CZE,"No, and I don't plan to"
4918,CZE,"No, but I plan to soon"
4919,CHE,"No, and I don't plan to"
4920,CHE,Yes
4921,DEU,Yes
4922,USA,Yes
4923,BRA,Yes
4924,PAK,Yes
4925,UKR,Yes
4926,DEU,Yes
4927,,"No, and I don't plan to"
4928,NLD,"No, and I don't plan to"
4929,GBR,"No, and I don't plan to"
4930,DEU,Yes
4931,POL,Yes
4932,RWA,Yes
4933,NOR,"No, and I don't plan to"
4934,GRC,"No, and I don't plan to"
4935,ESP,Yes
4936,DEU,"No, but I plan to soon"
4937,IND,Yes
4938,USA,"No, and I don't plan to"
4939,USA,Yes
4940,CAN,"No, and I don't plan to"
4941,POL,Yes
4942,TWN,"No, but I plan to soon"
4943,IND,"No, but I plan to soon"
4944,ROU,Yes
4945,MAR,Yes
4946,FRA,Yes
4947,HUN,Yes
4948,CAN,"No, and I don't plan to"
4949,FRA,Yes
4950,USA,"No, but I plan to soon"
4951,SRB,"No, but I plan to soon"
4952,IND,Yes
4953,POL,"No, but I plan to soon"
4954,CAN,"No, but I plan to soon"
4955,IND,Yes
4956,USA,Yes
4957,RUS,Yes
4958,USA,"No, and I don't plan to"
4959,BRA,Yes
4960,USA,Yes
4961,BGD,Yes
4962,ESP,"No, but I plan to soon"
4963,NLD,Yes
4964,FRA,"No, and I don't plan to"
4965,USA,Yes
4966,CHE,"No, and I don't plan to"
4967,USA,"No, but I plan to soon"
4968,USA,Yes
4969,ISR,Yes
4970,IRL,Yes
4971,USA,"No, and I don't plan to"
4972,CZE,Yes
4973,BGD,Yes
4974,ITA,"No, and I don't plan to"
4975,USA,Yes
4976,IND,Yes
4977,UKR,"No, but I plan to soon"
4978,CHE,"No, but I plan to soon"
4979,POL,"No, and I don't plan to"
4980,DEU,"No, and I don't plan to"
4981,ITA,Yes
4982,POL,Yes
4983,RUS,Yes
4984,USA,"No, and I don't plan to"
4985,USA,"No, and I don't plan to"
4986,ITA,Yes
4987,CHN,Yes
4988,SAU,Yes
4989,CZE,Yes
4990,NLD,Yes
4991,ISL,"No, and I don't plan to"
4992,CHL,"No, but I plan to soon"
4993,,Yes
4994,ITA,"No, but I plan to soon"
4995,USA,"No, and I don't plan to"
4996,POL,"No, and I don't plan to"
4997,NLD,"No, and I don't plan to"
4998,USA,Yes
4999,CAN,Yes
5000,CZE,Yes
5001,CAN,Yes
5002,ITA,Yes
5003,IND,"No, and I don't plan to"
5004,POL,Yes
5005,TTO,Yes
5006,ESP,Yes
5007,ITA,Yes
5008,DNK,Yes
5009,GBR,"No, and I don't plan to"
5010,USA,Yes
5011,CHN,"No, and I don't plan to"
5012,IND,"No, but I plan to soon"
5013,IND,Yes
5014,ISR,"No, but I plan to soon"
5015,GBR,Yes
5016,,Yes
5017,IND,Yes
5018,USA,Yes
5019,USA,"No, but I plan to soon"
5020,LBN,Yes
5021,IND,Yes
5022,CHN,"No, and I don't plan to"
5023,NLD,Yes
5024,GBR,Yes
5025,SWE,Yes
5026,UKR,"No, but I plan to soon"
5027,CHE,"No, and I don't plan to"
5028,FIN,Yes
5029,GBR,Yes
5030,GBR,"No, and I don't plan to"
5031,USA,"No, and I don't plan to"
5032,USA,Yes
5033,USA,Yes
5034,USA,Yes
5035,ISR,Yes
5036,RUS,"No, and I don't plan to"
5037,USA,"No, and I don't plan to"
5038,DEU,Yes
5039,GBR,"No, and I don't plan to"
5040,BGD,Yes
5041,IND,Yes
5042,BIH,"No, and I don't plan to"
5043,NLD,Yes
5044,USA,"No, and I don't plan to"
5045,USA,Yes
5046,USA,Yes
5047,ZAF,Yes
5048,DEU,"No, but I plan to soon"
5049,USA,"No, and I don't plan to"
5050,BEL,"No, and I don't plan to"
5051,DEU,Yes
5052,USA,"No, and I don't plan to"
5053,IND,Yes
5054,ALB,Yes
5055,USA,Yes
5056,USA,Yes
5057,MRT,Yes
5058,NZL,"No, but I plan to soon"
5059,FRA,"No, and I don't plan to"
5060,POL,Yes
5061,EGY,Yes
5062,IND,Yes
5063,GBR,"No, but I plan to soon"
5064,DEU,Yes
5065,IND,"No, but I plan to soon"
5066,GBR,"No, and I don't plan to"
5067,GBR,Yes
5068,DEU,Yes
5069,SLE,"No, and I don't plan to"
5070,RUS,"No, and I don't plan to"
5071,USA,"No, but I plan to soon"
5072,CAN,"No, and I don't plan to"
5073,USA,Yes
5074,GBR,"No, and I don't plan to"
5075,PAN,Yes
5076,DNK,Yes
5077,FRA,Yes
5078,IND,"No, but I plan to soon"
5079,IND,Yes
5080,BEL,"No, and I don't plan to"
5081,AUT,"No, and I don't plan to"
5082,DEU,"No, and I don't plan to"
5083,UKR,Yes
5084,DEU,Yes
5085,ROU,Yes
5086,CHE,Yes
5087,PRT,Yes
5088,DEU,Yes
5089,COL,"No, and I don't plan to"
5090,FRA,"No, but I plan to soon"
5091,CAN,Yes
5092,,Yes
5093,USA,Yes
5094,USA,"No, and I don't plan to"
5095,AUT,Yes
5096,USA,Yes
5097,PAK,"No, and I don't plan to"
5098,DEU,"No, and I don't plan to"
5099,UKR,Yes
5100,ITA,"No, but I plan to soon"
5101,CAN,Yes
5102,IND,Yes
5103,NLD,Yes
5104,USA,Yes
5105,DEU,"No, and I don't plan to"
5106,USA,"No, but I plan to soon"
5107,CAN,Yes
5108,USA,Yes
5109,PRK,Yes
5110,ECU,"No, and I don't plan to"
5111,POL,Yes
5112,IRL,"No, but I plan to soon"
5113,USA,Yes
5114,BGD,"No, and I don't plan to"
5115,DEU,"No, and I don't plan to"
5116,RUS,"No, and I don't plan to"
5117,POL,Yes
5118,BGR,Yes
5119,GBR,Yes
5120,CAN,"No, and I don't plan to"
5121,CAN,"No, but I plan to soon"
5122,SGP,Yes
5123,ITA,"No, and I don't plan to"
5124,NLD,"No, and I don't plan to"
5125,GBR,Yes
5126,BEL,"No, and I don't plan to"
5127,BGR,"No, and I don't plan to"
5128,DEU,"No, and I don't plan to"
5129,DEU,Yes
5130,CUB,Yes
5131,CAN,"No, but I plan to soon"
5132,DEU,Yes
5133,ITA,"No, and I don't plan to"
5134,BRA,"No, but I plan to soon"
5135,USA,"No, and I don't plan to"
5136,IND,"No, but I plan to soon"
5137,LTU,Yes
5138,GBR,Yes
5139,CHE,"No, and I don't plan to"
5140,BRA,Yes
5141,ZAF,Yes
5142,USA,"No, but I plan to soon"
5143,FRA,Yes
5144,USA,Yes
5145,,Yes
5146,GBR,"No, and I don't plan to"
5147,FRA,"No, and I don't plan to"
5148,CAN,Yes
5149,ROU,"No, but I plan to soon"
5150,ESP,Yes
5151,BEL,Yes
5152,ESP,Yes
5153,USA,"No, but I plan to soon"
5154,POL,"No, but I plan to soon"
5155,DEU,Yes
5156,DEU,Yes
5157,ITA,Yes
5158,CZE,Yes
5159,RUS,"No, and I don't plan to"
5160,FRA,Yes
5161,USA,Yes
5162,DEU,Yes
5163,DEU,"No, but I plan to soon"
5164,USA,Yes
5165,USA,"No, and I don't plan to"
5166,FRA,"No, and I don't plan to"
5167,USA,"No, and I don't plan to"
5168,USA,Yes
5169,IND,Yes
5170,ZAF,Yes
5171,NPL,"No, and I don't plan to"
5172,CAN,"No, and I don't plan to"
5173,NLD,Yes
5174,USA,Yes
5175,GBR,"No, and I don't plan to"
5176,USA,"No, and I don't plan to"
5177,PRT,Yes
5178,FRA,"No, and I don't plan to"
5179,RUS,Yes
5180,GBR,Yes
5181,USA,"No, and I don't plan to"
5182,FRA,"No, but I plan to soon"
5183,ITA,"No, but I plan to soon"
5184,UKR,"No, but I plan to soon"
5185,DEU,"No, and I don't plan to"
5186,MEX,Yes
